Marca de temps,Localitat,Data,Categoria,"En cas d'altres, quina?","Nom de l'activitat ","Companyia, artista",Lloc,Llengua de l'activitat,Preu,Regidoria organitzadora,Llengua de la publicitat,Font,Persona que ha introduït les dades,,,Estructura dades,Observacions estructura dades
13/02/2023 11:10:25,Rocafort,16/12/2022,Música,,Concert de Nadal: Coral Polifònica de i Coral Infantil,Coral Polifònica de Rocafort i la Coral Infantil Polifònica de Rocafort,Església de Sant Sebastià,No hi ha informació,,En col·laboració o organitzat per una entitat ciutadana,Bilingüe,https://www.facebook.com/ajuntamentderocafort/,Hermi,,,,
14/02/2023 18:05:50,Tavernes de la Valldigna,16/12/2022,Presentació llibre,,La violència política contra les dones,Antoni Simó i Ricard Camil Torres,Biblioteca de Tavernes de la Valldigna,Valencià/català,,Igualtat,Valencià/català,https://www.facebook.com/AjuntamentTavernesValldigna/?locale=es_ES,Blanca,,,,
14/02/2023 11:20:54,Utiel,16/12/2022,Presentació llibre,,VINO EN GUERRA,JOSÉ RAFAEL PONCE IRANZO,CASA DE CULTURA,Espanyol,,Cultura,Espanyol,https://www.facebook.com/photo.php?fbid=519177873574799&set=pb.100064477728448.-2207520000.&type=3,Joan,,,,
16/02/2023 10:09:07,València,16/12/2022,Música,,Concert de Nadal de l'Ensemble Vocal de Cambra,Cor del conservatori de València,Plaça de l'Ajuntament,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/photo.php?fbid=532216572266144&set=pb.100064334186594.-2207520000.&type=3,Blanca,,,,
15/02/2023 13:52:36,València,16/12/2022,Conferència,,¿Qué hacemos con Lolita?,"Laura Freixas i ""Asoc. Clásicas y Modernas""",Biblioteca de Sant Marcel·lí-Camí Real - Clara Santiró i Font,Espanyol,,Altres,Valencià/català,https://www.valencia.es/documents/20142/10133298/20221130+BIBLIOTEQUES+MUNICIPAL+PROGRAMACIO+DESEMBRE+22-pruses.pdf/0abb5a20-9af6-ae8c-5779-f22126094a6c?t=1669810512677,Marina,,,,
17/02/2023 13:14:29,València,16/12/2022,Contacontes,,Cuentos de niños del mundo,Rebombori,Biblioteca d’Aiora - Vicent Casp i Verger,Espanyol,,Altres,Valencià/català,https://www.valencia.es/documents/20142/10133298/20221130+BIBLIOTEQUES+MUNICIPAL+PROGRAMACIO+DESEMBRE+22-pruses.pdf/0abb5a20-9af6-ae8c-5779-f22126094a6c?t=1669810512677,Marina,,,,
17/02/2023 13:15:25,València,16/12/2022,Contacontes,,La volta al món en 5 contes,Carles Cano,Biblioteca de Russafa - Nova Al-Russafí,Valencià/català,,Altres,Valencià/català,https://www.valencia.es/documents/20142/10133298/20221130+BIBLIOTEQUES+MUNICIPAL+PROGRAMACIO+DESEMBRE+22-pruses.pdf/0abb5a20-9af6-ae8c-5779-f22126094a6c?t=1669810512677,Marina,,,,
17/02/2023 13:16:16,València,16/12/2022,Contacontes,,Mr. Fem,Rubén Navarro,Biblioteca La Petxina,Valencià/català,,Altres,Valencià/català,https://www.valencia.es/documents/20142/10133298/20221130+BIBLIOTEQUES+MUNICIPAL+PROGRAMACIO+DESEMBRE+22-pruses.pdf/0abb5a20-9af6-ae8c-5779-f22126094a6c?t=1669810512677,Marina,,,,
15/02/2023 13:39:56,València,16/12/2022,Exposició,,"Somoza, damas y musas",Ivan Miedho,Biblioteca d’Arrancapins - Eduard Escalante,Espanyol,,Altres,Valencià/català,https://www.valencia.es/documents/20142/10133298/20221130+BIBLIOTEQUES+MUNICIPAL+PROGRAMACIO+DESEMBRE+22-pruses.pdf/0abb5a20-9af6-ae8c-5779-f22126094a6c?t=1669810512677,Marina,,,,
14/02/2023 13:37:11,Xàtiva,16/12/2022,Teatre,,Los pazos de Ulloa,Emilia Pardo Bazán,Gran Teatre de Xàtiva,Espanyol,15/12€,Cultura,Valencià/català,https://blog.xativa.es/2022/12/14/el-gran-teatre-de-xativa-acull-aquest-divendres-lobra-los-pazos-de-ulloa-demilia-pardo-bazan/,Hermi,,,,
15/02/2023 10:23:41,Xirivella,16/12/2022,Teatre,,Mester de Algarabía,Rafael Álvarez ''el brujo'',Tetare-auditori Xirivella,No hi ha informació,5€,Cultura,Bilingüe,https://www.facebook.com/photo?fbid=498788085616574&set=pcb.494224332739616,Blanca,,,,
08/03/2023 10:48:09,Alaquàs,17/12/2022,Música,,Concert de Nadal,Banda Juvenil de la Unió Musical d'Alaquàs,Auditori Nou,Activitat sense llengua,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/photo/?fbid=502194425276929&set=pcb.502194581943580,Joan,,,,
08/03/2023 10:48:57,Alaquàs,17/12/2022,Música,,Concert de Nadal,Banda Simfònica de la Unió Musical d'Alaquàs,Auditori Nou,Activitat sense llengua,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/photo/?fbid=502194425276929&set=pcb.502194581943580,Joan,,,,
06/02/2023 12:40:26,Albal,17/12/2022,Dansa,,Jornada de balls al carrer,grup de danses d'Albal La Murta,Des de la Residència de Majors Antonio i Julio Muñoz Genovés fins a la plaça de l'Església,Activitat sense llengua,,Cultura,Valencià/català,https://www.instagram.com/ajuntamentalbal/?hl=es,Blanca,,,,
07/02/2023 9:15:19,Alboraia,17/12/2022,Teatre,,La crítica,Comedy Plan,Teatre l'agrícola,Espanyol,10/8€,Cultura,Valencià/català,http://agendaalboraya.es/agenda-octubre-noviembre-2022,Hermi,,,,
17/02/2023 9:53:04,Alcàsser,17/12/2022,Música,,CONCERT DE NADAL - CORAL POLIFÒNICA D'ALCÀSSER,CORAL POLIFÒNICA D'ALCÀSSER,CENTRE CULTURAL,No hi ha informació,,Cultura,Valencià/català,https://www.facebook.com/centreculturaldalcasser/posts/pfbid02HhgiJATcGAEjZrp8tnYifwtFtr5JJeSxxu3YwMJFjw4BB135Wfs4LsSGvdzzgYVZl,Joan,,,,
08/02/2023 11:38:37,Aldaia,17/12/2022,Dansa,,Actuació nadalenca de la Ronda d'Aldaia,Ronda d'Aldaia,Teatre del Mercat,No hi ha informació,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.aldaia.es/portada,Marina,,,,
07/02/2023 9:56:12,Alfafar,17/12/2022,Presentació llibre,,PRESENTACIÓ DELS LLIBRES + ENTREGA DE PREMIS,"LLUIS FORNÉS, ROGER MIRA, JOSEP CARLES LAÍNEZ, JOSEP CUBLLES I JAVIER JUAN",Musical Cima,Valencià/català,,Cultura,Valencià/català,https://asociaciones.alfafar.es/es/eventos/PRESENTACI%C3%93%20DELS%20LLIBRES%20+%20ENTREGA%20DE%20PREMIS,Blanca,,,,
07/02/2023 12:24:30,Algemesí,17/12/2022,Exposició,,Concurs de postals nadalenques de la Muixeranga d'Algemesí,,Museu Valencià de la festa,Activitat sense llengua,,Joventut,Valencià/català,https://www.instagram.com/ajuntamentalgemesi/?hl=es,Blanca,,,Difícilment automatitzable,PDF descarregable
08/02/2023 9:29:55,Alginet,17/12/2022,Dansa,,Danza urbana i exhibició gimnàstica rítmica,,Pavelló poliesportiu,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/AjuntamentAlginet/?locale=ca_ES,Blanca,,,,
08/02/2023 9:21:40,Alginet,17/12/2022,Música,,Gisela show kids,Gisela,Plaça Enric Valor,Espanyol,,Cultura,Valencià/català,https://www.facebook.com/AjuntamentAlginet/?locale=ca_ES,Blanca,,,,
08/02/2023 10:08:08,Almussafes,17/12/2022,Música,,Concert de Nadal,banda de la Societat Musical Lira Almussafense,Centre Cultural,No hi ha informació,,Cultura,Bilingüe,https://www.facebook.com/AjuntamentAlmussafes/?locale=es_ES,Marina,,,,
07/02/2023 10:12:49,Alzira,17/12/2022,Altres,Espectacle,La Colla en Ruta,"La Colla d'À Punt, Dani Miquel i La Banda de les Feretes",Plaça Major,Valencià/català,,Joventut,Valencià/català,https://www.facebook.com/AjuntAlzira?locale=ca_ES,Marina,,,,
07/02/2023 10:01:11,Alzira,17/12/2022,Música,,V Festival CaixaBank d'Orquestres de la Comunitat Valenciana,,Gran Teatre d'Alzira,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/AjuntAlzira?locale=ca_ES,Marina,,,,
07/02/2023 10:26:21,Benifaió,17/12/2022,Teatre,,NADAL A CASA ELS CUPIELLO,Teatre Micalet,Centre cultural Enric Valor,Valencià/català,5/4€,Cultura,Valencià/català,https://www.facebook.com/culturajoventut.ajuntamentbenifaio/,Hermi,,,,
08/02/2023 12:59:05,Bunyol,17/12/2022,Música,,Concert Nadal: Banda Juvenil C.I.M l'Armònica,Banda Juvenil C.I.M l'Armònica,Palau de la música,Activitat sense llengua,,En col·laboració o organitzat per una entitat ciutadana,Espanyol,https://www.facebook.com/photo/?fbid=524778173028239&set=a.302065371966188,Hermi,,,,
07/02/2023 9:47:01,Carcaixent,17/12/2022,Altres,ANIMACIÓ,VII MATINAL SOLIDARIA,ESPECTACLES BARFI,MERCAT MUNICIPAL,Valencià/català,,Altres,Valencià/català,https://www.carcaixent.es/evento/benestar-social/vii-matinal-solidaria,Joan,,,,
03/05/2023 11:49:20,Carlet,17/12/2022,Música,,Concert de Nadal,Banda infantil i juvenil,Teatre Saló Giner,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/AjuntamentdeCarlet/?locale=es_ES,Blanca,,,,
07/02/2023 13:13:27,Cullera,17/12/2022,Altres,,FIRA LITERÀRIA I CULTURAL,Matinal del llibre en valencià,"c/ València, 166",Valencià/català,,En col·laboració o organitzat per una entitat ciutadana,Bilingüe,https://www.facebook.com/AjuntamentDeCullera,Joan,,,,
06/02/2023 13:05:27,Gandia,17/12/2022,Música,,Cicle de bandes de música: Agrupació Musical Santa Cecília d'Ador , Agrupació Musical Santa Cecília d'Ador,Plaça Escola Pia,Activitat sense llengua,,Cultura,Valencià/català,https://cultura.gandia.org/esdeveniments/concert-de-banda/,Hermi,,,,
06/02/2023 13:06:37,Gandia,17/12/2022,Música,,Concert de Nadal,Banda UAM Sant Francesc de Borja,Teatre Serrano,Activitat sense llengua,4€,Cultura,Valencià/català,https://cultura.gandia.org/esdeveniments/concert-de-nadal/,Hermi,,,,
06/02/2023 13:03:19,Gandia,17/12/2022,Activitats sobre patrimoni,,Excursions al patrimoni cultral: MUSEU FUSTER I RUTA DEL MODERNISME ,UPG,Sueca. Casa Museu Fuster,Valencià/català,10€,Cultura,Valencià/català,https://cultura.gandia.org/esdeveniments/excursions-al-patrimoni-cultral/,Hermi,,,,
09/02/2023 11:25:27,Godella,17/12/2022,Música,,Festival de Nadal: Alumnes d’iniciació i agrupacions infantils del CMG,Alumnes d’iniciació i agrupacions infantils del CMG,Teatre Capitolio,No hi ha informació,,En col·laboració o organitzat per una entitat ciutadana,Bilingüe,https://www.taquillagodella.es/val/producto/desembre-2022/festival-de-nadal-alumnes-diniciacio-i-agrupacions-infantils-del-casino-musical-de-godella/,Hermi,,,,
09/02/2023 13:10:25,Manises,17/12/2022,Altres,Màgia i mentalisme,¡Despierta!,Toni Pons,,Espanyol,"7,5/6,5€",Cultura,Bilingüe,https://www.manises.es/va/evento/despierta-toni-pons,Hermi,,,,
03/05/2023 12:59:01,Massamagrell,17/12/2022,Música,,El Gato con Notas,,Fira de Nadal,Activitat sense llengua,,Cultura,Bilingüe,https://www.facebook.com/photo.php?fbid=586627343470561&set=pb.100063699004307.-2207520000.&type=3,Hermi,,,,
10/02/2023 10:03:18,Massamagrell,17/12/2022,Altres,Màgia,Una nit amb el mag Lari,"Focus, S.A",Centre Cultural,Valencià/català,3€,Cultura,Bilingüe,https://www.facebook.com/ViuMassama/,Hermi,,,,
08/02/2023 13:31:42,Oliva,17/12/2022,Música,,Concert Nadal,Banda juvenil i banda simfònica,Centre polivalent d'Oliva,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/AjuntamentOliva/,Blanca,,,,
08/02/2023 13:30:24,Oliva,17/12/2022,Música,,XV Festival de Nadales,"Les tres corals parroquials, el cor gregorià Cum lubilo, la coral Santa Cecília, el modern espai gòspel cor, el cor de xiquets de primera comunió de Santa Maria, el cor de les ames de casa i el cor de festers Mare de Déu del Rebollet 2023",Parròquia de Santa Maria la Major,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/AjuntamentOliva/,Blanca,,,,
09/02/2023 11:08:33,"Olleria, l'",17/12/2022,Teatre,,Oz el musical,"Josep Mollà, Vanesa Gil i Carlos Mansa, José Tomàs Chàfer",Teatre Goya,No hi ha informació,1€/3€,Cultura,"Valencià/català, Bilingüe",https://www.facebook.com/ajuntamentlolleria/?locale=ca_ES,Blanca,,,,
13/02/2023 12:50:59,Ontinyent,17/12/2022,Teatre,,Edén,Le théatre Jaleo,Plaça de la Concepció,No hi ha informació,,Cultura,Valencià/català,https://www.ontinyent.es/va/evento/xi-festival-circ-teatre-al-carrer-ontinyent,Blanca,,,,
09/02/2023 9:37:35,Paterna,17/12/2022,Teatre,,CONCERTS EXTRAORDINARIS DE NADAL I REIS,UNIÓ MUSICAL SANTA CECÍLIA DE PATERNA,TEATRE CAPRI,Activitat sense llengua,1€,Cultura,Valencià/català,https://www.paterna.es/images/pdf/cultura/2022/4-trim-2022.pdf,Joan,,,,
09/02/2023 12:52:03,Picassent,17/12/2022,Exposició,,HOMENATGE A SOROLLA I LLUM DE LA MEDITERRÀNEA,MARTA ESPINÓS,CASA DE CULTURA,Activitat sense llengua,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.picassent.es/es/evento/homenaje-sorolla-luz-mediterranea,Joan,,,,
10/02/2023 9:37:13,"Pobla de Farnals, la",17/12/2022,Música,,CONCERTS DE NADAL - BANDA JUVENIL,BANDA JUVENIL,CASA DE LA CULTURA,No hi ha informació,,Cultura,Bilingüe,https://www.lapobladefarnals.es/es/evento/conciertos-navidad,Joan,,,,
10/02/2023 9:39:09,"Pobla de Farnals, la",17/12/2022,Música,,CONCERTS DE NADAL - BANDA SIMFÒNICA,BANDA SIMFÒNICA,CASA DE LA CULTURA,No hi ha informació,,Cultura,Bilingüe,https://www.lapobladefarnals.es/es/evento/conciertos-navidad,Joan,,,,
10/02/2023 9:36:12,"Pobla de Farnals, la",17/12/2022,Música,,CONCERTS DE NADAL - XIQUIBAND,XIQUIBAND,CASA DE LA CULTURA,No hi ha informació,,Cultura,Bilingüe,https://www.lapobladefarnals.es/es/evento/conciertos-navidad,Joan,,,,
10/02/2023 11:09:06,"Pobla de Vallbona, la",17/12/2022,Música,,Concierto tributo a Queen,kEENG,MERCAT MUNICIPAL,Anglès,,Cultura,Valencià/català,https://www.facebook.com/ajuntamentlapobladevallbona/photos/5629334700454050/,Joan,,,,
10/02/2023 11:09:59,"Pobla de Vallbona, la",17/12/2022,Cinema,,"LILO, MI AMIGO EL COCODRILO",,CASA DE LA CULTURA,Espanyol,,Cultura,Valencià/català,https://www.facebook.com/ajuntamentlapobladevallbona/photos/5671368059584047/,Joan,,,,
13/02/2023 10:38:53,Requena,17/12/2022,Música,,Concierto de Gospel: Amos & Soul Connection,Coro Gospel de Madrid,Teatro Principal,Anglès,,En col·laboració o organitzat per una entitat ciutadana,Espanyol,https://www.requena.es/evento/soul-connection-coro-gospel-madrid,Marina,,,,
05/05/2023 10:25:43,Riba-roja del Túria,17/12/2022,Música,,Concert de Nadal,Banda Unió Musical de Riba-roja,Auditori Municipal,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/photo.php?fbid=529341092560958&set=pb.100064552158020.-2207520000.&type=3,Marina,,,,
05/05/2023 10:28:01,Riba-roja del Túria,17/12/2022,Presentació llibre,,Pouets de l'horta Riba-roja de Túria,"Néstor García, Paco Malparaiso, Ricard Segura i Juansa Alcácer",Castell de Riba-roja,No hi ha informació,,Altres,Valencià/català,https://www.facebook.com/photo.php?fbid=527494312745636&set=pb.100064552158020.-2207520000.&type=3,Marina,,,,
13/02/2023 11:05:43,Rocafort,17/12/2022,Música,,Nadales als carrers: Banda Sènior,Associació Musical Rocafort,Cercavila pels carrers del poble,Activitat sense llengua,,En col·laboració o organitzat per una entitat ciutadana,Bilingüe,https://www.facebook.com/ajuntamentderocafort/,Hermi,,,,
14/02/2023 9:04:53,Sedaví,17/12/2022,Música,,Concert de Nadal: Banda Sénior i Orquestra de Cambra Agrupació Musical Santa Cecília Sedaví,Agrupació Musical Santa Cecília Sedaví,Sala Vicente Ruíz Monrabal,Activitat sense llengua,1€,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/ajuntamentsedavi/,Hermi,,,,
14/02/2023 9:58:39,Sueca,17/12/2022,Música,,Concert de Nadal,Orfeò Suecà,Església de Sales,Activitat sense llengua,,Cultura,Valencià/català,https://www.sueca.es/val/evento-pagina-aviso/programacio-cultural-desembre-2022?fbclid=IwAR27SPHTNbs4NViUy-FCel2qs_-fN8_BBfGkmu3bA2BiVZCnxZ6C9ciOIF8,Blanca,,,,
14/02/2023 16:27:31,Tavernes Blanques,17/12/2022,Música,,Concert Banda Juvenil,Agrupació artístic musical,Plaça d'Espanya,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/AytoTBlanques/,Blanca,,,,
14/02/2023 18:15:05,Tavernes de la Valldigna,17/12/2022,Música,,Fetsival de Corals de Nadal,"Coral marinyén, cor de cambra quinze de març, coral escola d'adults bolomop",Església Sant Pere Apòstol,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/AjuntamentTavernesValldigna/?locale=es_ES,Blanca,,,,
14/02/2023 20:23:15,Torís,17/12/2022,Música,,Nadales,Grup danses Turís i dolçainers de Turís,Plaça Vicent Ribes,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/ajuntamentdeturis/?locale=ca_ES,Blanca,,,,
14/02/2023 20:25:49,Torís,17/12/2022,Música,,XXVI Concert de Nadal,Cor polifónic Vicent Ribes i cor cantabile de Xest,Església de la Nativitat de la Mare de Deu,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/ajuntamentdeturis/?locale=ca_ES,Blanca,,,,
14/02/2023 10:52:17,Utiel,17/12/2022,Teatre,,EL LAGO DE LOS CISNES,BALLET CLÁSICO INTERNACIONAL,TEATRE RAMBAL,Espanyol,"16€, 14€",Cultura,Espanyol,https://www.facebook.com/photo.php?fbid=492094782949775&set=pb.100064477728448.-2207520000.&type=3,Joan,,,,
16/02/2023 10:11:13,València,17/12/2022,Música,,Nadales als barris,Coral Font Sant Lluís,mercat Algirós,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/photo/?fbid=532216692266132&set=pb.100064334186594.-2207520000.,Blanca,,,,
16/02/2023 10:12:10,València,17/12/2022,Música,,Nadales als barris,Coral El Parc,Mercat de Benicalap,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/photo/?fbid=532216692266132&set=pb.100064334186594.-2207520000.,Blanca,,,,
16/02/2023 10:13:02,València,17/12/2022,Música,,Nadales als barris,Planakanta,Jardí Malilla. Enginyer J. Benlloch,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/photo/?fbid=532216692266132&set=pb.100064334186594.-2207520000.,Blanca,,,,
16/02/2023 10:13:50,València,17/12/2022,Música,,Nadales als barris,Escola Coral de Veus,Mercat de Castella (l'Olivereta),Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/photo/?fbid=532216692266132&set=pb.100064334186594.-2207520000.,Blanca,,,,
16/02/2023 10:15:29,València,17/12/2022,Música,,Nadales als barris,Cor de la U. M. L'Horta de Sant Marcel·lí,Mercat de Mossén Sorell (Ciutat Vella),Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/photo/?fbid=532216692266132&set=pb.100064334186594.-2207520000.,Blanca,,,,
16/02/2023 10:16:27,València,17/12/2022,Música,,Nadales als barris,Cor Alameda,Mercat de Natzaret,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/photo/?fbid=532216692266132&set=pb.100064334186594.-2207520000.,Blanca,,,,
16/02/2023 10:17:58,València,17/12/2022,Música,,Nadales als barris,Coral Agrupació Musical Font Sant Lluís,Pl. Rojas Clemente (Extramurs),Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/photo/?fbid=532216692266132&set=pb.100064334186594.-2207520000.,Blanca,,,,
16/02/2023 10:19:41,València,17/12/2022,Música,,Nadales als barris,Veus del Forn d'Alcedo,Pl. Baró de Cortes,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/photo/?fbid=532216692266132&set=pb.100064334186594.-2207520000.,Blanca,,,,
16/02/2023 10:20:48,València,17/12/2022,Música,,Nadales als barris,Coral Resonare Fibris,Mercat de Torrefiel,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/photo/?fbid=532216692266132&set=pb.100064334186594.-2207520000.,Blanca,,,,
16/02/2023 10:22:00,València,17/12/2022,Música,,Nadales als barris,Coral Polifònica Valentina,Mercat del Cabanyal,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/photo/?fbid=532216692266132&set=pb.100064334186594.-2207520000.,Blanca,,,,
16/02/2023 10:23:08,València,17/12/2022,Música,,Nadales als barris,Coral Corporació Musical de la Pobla de Vallbona,Parc de l'Ermita (Orriols),Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/photo/?fbid=532216692266132&set=pb.100064334186594.-2207520000.,Blanca,,,,
16/02/2023 10:24:36,València,17/12/2022,Música,,Nadales als barris,Grup de Danses la Carraspera,Pl. Patraix,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/photo/?fbid=532216692266132&set=pb.100064334186594.-2207520000.,Blanca,,,,
16/02/2023 11:31:21,València,17/12/2022,Música,,Cambra al Palau,M. García i J. Nava,L'Almodí,Activitat sense llengua,10€,Cultura,Bilingüe,https://www.palauvalencia.com/wp-content/uploads/2021/12/CAMBRA-22.pdf,Hermi,,,,
17/02/2023 13:17:08,València,17/12/2022,Contacontes,,Chof,Patricia de Cos,Biblioteca La Petxina,No hi ha informació,,Altres,Valencià/català,https://www.valencia.es/documents/20142/10133298/20221130+BIBLIOTEQUES+MUNICIPAL+PROGRAMACIO+DESEMBRE+22-pruses.pdf/0abb5a20-9af6-ae8c-5779-f22126094a6c?t=1669810512677,Marina,,,,
14/02/2023 12:39:02,Vilamarxant,17/12/2022,Música,,Concert de Nadal,Grup de Danses i Pastorets de Vilamarxant i Unió Artística Musical de Vilamarxant,Pavelló Multiusos,Activitat sense llengua,,Altres,Espanyol,https://www.facebook.com/AjuntamentVilamarxant/?locale=es_ES,Marina,,,,
06/02/2023 12:43:02,Albal,18/12/2022,Música,,Concert solidari de nadal,"Banda juvenil + Simfònica, Banda infantil i Orquestra",Casa de la cultura,Activitat sense llengua,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.instagram.com/ajuntamentalbal/?hl=es,Blanca,,,,
07/02/2023 9:16:17,Alboraia,18/12/2022,Cinema,,"La mama Mu, torna a casa",,Teatre l'Agrícola,Valencià/català,3€,Cultura,Valencià/català,http://agendaalboraya.es/agenda-octubre-noviembre-2022,Hermi,,,,
17/02/2023 9:54:14,Alcàsser,18/12/2022,Música,,CONCERT DE NADAL - BANDA SIMFÒNICA DE LA SOCIETAT MUSICAL SANTA CECÍLIA D'ALCÀSSER,BANDA SIMFÒNICA DE LA SOCIETAT MUSICAL SANTA CECÍLIA D'ALCÀSSER,CENTRE CULTURAL,No hi ha informació,,Cultura,Valencià/català,https://www.facebook.com/centreculturaldalcasser/posts/pfbid02HhgiJATcGAEjZrp8tnYifwtFtr5JJeSxxu3YwMJFjw4BB135Wfs4LsSGvdzzgYVZl,Joan,,,,
07/02/2023 9:48:11,Alfafar,18/12/2022,Dansa,,PER NADAL BALLAR I CANTAR,l'associació Balla Danses,Plaça de l'Ajuntament d'Alfafar,Activitat sense llengua,,En col·laboració o organitzat per una entitat ciutadana,Bilingüe,https://asociaciones.alfafar.es/es/eventos/Per%20Nadal%20ballar%20i%20cantar,Blanca,,,,
07/02/2023 12:33:16,Algemesí,18/12/2022,Música,,Concert de la Colla d'Algemesí,la Colla d'Algemesí,Teatre municipal,No hi ha informació,3€,Cultura,Valencià/català,la Colla d'Algemesí,Blanca,,,,
08/02/2023 9:25:45,Alginet,18/12/2022,Música,,Concert de nadal,Banda simfònica i el Cor de l'escola de música i centre autoritzat,Teatre modern,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/AjuntamentAlginet/?locale=ca_ES,Blanca,,,,
08/02/2023 9:23:57,Alginet,18/12/2022,Música,,Concert de nadal cor de la Sama,Societat artística musical d'Alginet,Església Parroquial Sant Antoni Abab Alginet,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/AjuntamentAlginet/?locale=ca_ES,Blanca,,,,
08/02/2023 10:12:33,Almàssera,18/12/2022,Música,,Festival + concert de nadal,l'Escola i la bandeta i la banda simfònica,Centre cultural,Activitat sense llengua,,Cultura,Bilingüe,https://www.facebook.com/ajuntamentalmassera/?locale=ca_ES,Blanca,,,,
08/02/2023 10:01:29,Almussafes,18/12/2022,Teatre,,La dolçaina màgica,"Colla Al-mansáf, La Fera Teatre i alumnat Escola Municipal de Teatre d'Almussafes",Centre Cultural,Valencià/català,,Cultura,Bilingüe,https://www.facebook.com/AjuntamentAlmussafes/?locale=es_ES,Marina,,,,
08/02/2023 10:14:26,Almussafes,18/12/2022,Taller de teatre,,"Taller de titelles + Teatre infantil ""El Pirata Barba""",Xarop Teatre,Agora del parc Central,Valencià/català,,Joventut,Bilingüe,https://www.facebook.com/AjuntamentAlmussafes/?locale=es_ES,Marina,,,,
07/02/2023 9:57:47,Alzira,18/12/2022,Música,,Concert de Nadal,Coral Simfònica ,Església de Sant Joan,No hi ha informació,,Cultura,Valencià/català,https://www.facebook.com/AjuntAlzira?locale=ca_ES,Marina,,,,
07/02/2023 9:48:53,Alzira,18/12/2022,Teatre,,La màquina de Rube Goldberg,Nacho Diago,Gran Teatre d'Alzira,Espanyol,5€,Altres,Valencià/català,https://www.facebook.com/AjuntAlzira?locale=ca_ES,Marina,,,,
09/02/2023 9:54:39,Benaguasil,18/12/2022,Música,,Concert de música barroca,Harmonie Ensemble,Església de La nostra Senyora de l'Assumpció de Benaguasil,No hi ha informació,,Cultura,Valencià/català,https://www.facebook.com/AytoBenaguasil/,Marina,,,,
09/02/2023 9:53:00,Benaguasil,18/12/2022,Presentació llibre,,"Presentació del llibre ""Claro de luna""",José Luis Capella,Saló de plens de l'Ajuntament,No hi ha informació,,Cultura,Valencià/català,https://www.facebook.com/AytoBenaguasil/,Marina,,,,
08/02/2023 13:16:37,Benetússer,18/12/2022,Música,,Concert de Nadal ,SACUMB,Centre Cultural El Molí,Activitat sense llengua,,Cultura,Bilingüe,https://www.instagram.com/ayuntbenetusser/?hl=es,Marina,,,,
07/02/2023 12:36:58,Bétera,18/12/2022,Cinema,,"Clifford, el gran perro rojo",,Auditori Casa de la Cultura,Espanyol,,Cultura,Valencià/català,https://beteraturisme.com/esdeveniments/cinema-familiar-clifford-el-gran-perro-rojo/,Hermi,,,,
07/02/2023 12:38:37,Bétera,18/12/2022,Música,,Concert de Nadal,Banda Juvenil del C.A.M de Bétera,Auditori Casa de la Cultura,Activitat sense llengua,,Cultura,Valencià/català,https://beteraturisme.com/esdeveniments/concert-concert-de-nadal/,Hermi,,,,
07/02/2023 12:35:15,Bétera,18/12/2022,Activitats sobre patrimoni,,Rutes arqueològiques guiades als jaciments,,Vila romana de l'Horta Vella i Torre de Bofilla,Valencià/català,,Cultura,Valencià/català,https://beteraturisme.com/esdeveniments/rutes-arqueologiques-als-jaciments-11/,Hermi,,,,
